Redshift,K-band mag,K-band dmag
 0.181, 17.036, 0.011
 0.086, 20.090, 0.172
 0.142, 20.626, 0.270
 0.171, 16.497, 0.007
 0.195, 20.279, 0.202
 0.198, 18.468, 0.041
 0.126, 21.357, 0.478
 0.166, 19.095, 0.072
 0.122, 19.656, 0.119
 0.150, 16.567, 0.007
 0.079, 15.776, 0.004
 0.165, 15.299, 0.002
 0.187, 16.161, 0.005
 0.182, 19.441, 0.098
 0.090, 15.206, 0.002
 0.120, 14.928, 0.002
 0.197, 18.923, 0.062
 0.192, 17.168, 0.013
 0.184, 20.659, 0.277
 0.199, 21.442, 0.509
 0.194, 17.766, 0.022
 0.078, 20.579, 0.260
 0.122, 21.648, 0.591
 0.183, 13.958, 0.001
 0.116, 19.857, 0.141
 0.200, 20.987, 0.360
 0.162, 18.235, 0.033
 0.134, 20.017, 0.162
 0.169, 21.782, 0.649
 0.115, 17.953, 0.026
 0.141, 21.922, 0.714
 0.145, 18.999, 0.066
 0.052, 19.401, 0.095
 0.192, 21.866, 0.688
 0.158, 18.251, 0.034
 0.169, 19.238, 0.082
 0.100, 16.019, 0.004
 0.180, 21.958, 0.732
 0.188, 19.758, 0.130
 0.180, 17.607, 0.019
 0.187, 17.779, 0.022
 0.188, 20.507, 0.245
 0.198, 15.416, 0.003
 0.091, 21.633, 0.584
 0.053, 19.479, 0.102
 0.190, 21.946, 0.726
 0.077, 12.885, 0.000
 0.139, 21.373, 0.484
 0.183, 21.281, 0.451
 0.196, 21.915, 0.711
 0.140, 20.143, 0.180
 0.121, 19.008, 0.067
 0.134, 20.589, 0.262
 0.174, 16.594, 0.007
 0.170, 19.153, 0.076
 0.069, 14.784, 0.001
 0.158, 21.370, 0.482
 0.175, 18.144, 0.031
 0.190, 19.248, 0.083
 0.164, 15.482, 0.003
 0.109, 17.991, 0.027
 0.191, 17.596, 0.019
 0.072, 13.362, 0.000
 0.175, 20.017, 0.162
 0.103, 17.510, 0.017
 0.106, 20.513, 0.246
 0.113, 17.461, 0.016
 0.134, 18.531, 0.044
 0.192, 21.985, 0.745
 0.187, 21.229, 0.434
 0.154, 17.962, 0.026
 0.163, 20.517, 0.247
 0.200, 18.684, 0.050
 0.122, 16.727, 0.008
 0.095, 20.458, 0.235
 0.197, 21.763, 0.641
 0.161, 17.820, 0.023
 0.187, 14.744, 0.001
 0.064, 19.747, 0.128
 0.099, 21.729, 0.626
 0.191, 19.952, 0.153
 0.176, 21.384, 0.488
 0.066, 15.597, 0.003
 0.170, 21.828, 0.670
 0.111, 16.575, 0.007
 0.155, 18.813, 0.056
 0.076, 21.111, 0.397
 0.200, 19.371, 0.092
 0.134, 17.993, 0.027
 0.177, 21.133, 0.403
 0.112, 20.035, 0.165
 0.137, 19.151, 0.076
 0.178, 20.776, 0.305
 0.158, 21.199, 0.424
 0.127, 21.817, 0.665
 0.156, 20.331, 0.211
 0.167, 17.759, 0.022
 0.189, 19.304, 0.087
 0.192, 15.178, 0.002
 0.125, 21.706, 0.616
 0.173, 20.500, 0.243
 0.021, 18.666, 0.049
 0.061, 19.648, 0.118
 0.194, 21.505, 0.533
 0.115, 17.350, 0.015
 0.187, 20.901, 0.337
 0.063, 20.743, 0.297
 0.135, 18.553, 0.044
 0.166, 19.536, 0.107
 0.171, 20.809, 0.313
 0.195, 20.631, 0.271
 0.036, 17.871, 0.024
 0.079, 20.784, 0.307
 0.186, 21.902, 0.705
 0.171, 19.959, 0.154
 0.052, 18.072, 0.029
 0.024, 13.506, 0.000
 0.177, 21.159, 0.411
 0.158, 21.895, 0.701
 0.102, 14.649, 0.001
 0.118, 17.541, 0.018
 0.117, 21.624, 0.581
 0.096, 16.468, 0.007
 0.184, 21.887, 0.698
 0.038, 21.802, 0.658
 0.033, 21.574, 0.560
 0.170, 21.432, 0.505
 0.198, 18.143, 0.031
 0.143, 20.368, 0.218
 0.199, 20.222, 0.193
 0.149, 12.671, 0.000
 0.135, 20.921, 0.342
 0.172, 17.492, 0.017
 0.189, 18.428, 0.040
 0.034, 19.757, 0.130
 0.072, 21.659, 0.596
 0.178, 18.779, 0.054
 0.102, 18.600, 0.046
 0.174, 20.373, 0.219
 0.084, 21.377, 0.485
 0.129, 21.147, 0.408
 0.063, 14.388, 0.001
 0.061, 20.541, 0.252
 0.117, 19.149, 0.076
 0.148, 21.787, 0.651
 0.095, 20.270, 0.201
 0.101, 14.426, 0.001
 0.069, 16.447, 0.007
 0.153, 21.206, 0.427
 0.179, 18.815, 0.056
 0.033, 18.588, 0.046
 0.195, 14.979, 0.002
 0.074, 17.124, 0.012
 0.174, 20.461, 0.236
 0.165, 19.734, 0.127
 0.088, 20.844, 0.322
 0.154, 20.756, 0.300
 0.164, 19.009, 0.067
 0.090, 20.155, 0.182
 0.195, 20.898, 0.336
 0.182, 21.528, 0.542
 0.180, 21.836, 0.674
 0.154, 20.482, 0.240
 0.193, 19.680, 0.121
 0.189, 19.286, 0.086
 0.176, 21.801, 0.658
 0.127, 20.027, 0.164
 0.165, 21.340, 0.472
 0.190, 20.453, 0.234
 0.141, 18.708, 0.051
 0.121, 16.189, 0.005
 0.123, 21.112, 0.397
 0.195, 17.127, 0.012
 0.183, 15.926, 0.004
 0.070, 20.831, 0.318
 0.179, 20.776, 0.305
 0.066, 15.402, 0.002
 0.110, 17.086, 0.012
 0.191, 18.489, 0.042
 0.159, 17.086, 0.012
 0.128, 18.624, 0.047
 0.052, 19.089, 0.072
 0.181, 20.343, 0.214
 0.180, 21.081, 0.387
 0.131, 16.748, 0.009
 0.038, 18.592, 0.046
 0.183, 20.538, 0.251
 0.153, 17.489, 0.017
 0.093, 15.753, 0.003
 0.180, 17.876, 0.024
 0.107, 21.162, 0.413
 0.165, 20.939, 0.347
 0.165, 18.938, 0.063
 0.125, 19.853, 0.141
 0.137, 20.247, 0.197
 0.106, 19.482, 0.102
 0.125, 21.162, 0.412
 0.196, 21.214, 0.429
 0.181, 20.163, 0.184
 0.163, 21.492, 0.528
 0.180, 14.466, 0.001
 0.154, 19.834, 0.138
 0.096, 19.379, 0.093
 0.186, 21.529, 0.542
 0.192, 17.835, 0.023
 0.192, 19.541, 0.107
 0.141, 20.179, 0.186
 0.053, 20.832, 0.319
 0.064, 18.548, 0.044
 0.179, 20.902, 0.337
 0.077, 18.404, 0.039
 0.149, 16.993, 0.011
 0.045, 11.506, 0.000
 0.186, 19.910, 0.148
 0.166, 17.440, 0.016
 0.144, 21.315, 0.463
 0.035, 17.011, 0.011
 0.100, 20.961, 0.353
 0.186, 14.980, 0.002
 0.131, 21.097, 0.392
 0.123, 12.685, 0.000
 0.137, 21.152, 0.409
 0.198, 21.943, 0.725
 0.156, 21.762, 0.640
 0.177, 20.955, 0.351
 0.115, 20.107, 0.175
 0.178, 21.961, 0.733
 0.194, 20.614, 0.267
 0.167, 18.292, 0.035
 0.162, 16.530, 0.007
 0.165, 20.645, 0.274
 0.154, 20.311, 0.208
 0.191, 17.748, 0.021
 0.180, 14.385, 0.001
 0.135, 18.189, 0.032
 0.188, 21.535, 0.545
 0.192, 20.687, 0.284
 0.184, 20.453, 0.234
 0.176, 21.727, 0.625
 0.175, 16.985, 0.011
 0.031, 20.487, 0.241
 0.164, 16.394, 0.006
 0.179, 20.470, 0.237
 0.031, 21.744, 0.632
 0.197, 20.046, 0.166
 0.105, 18.614, 0.047
 0.191, 21.924, 0.715
 0.131, 18.832, 0.057
 0.117, 21.889, 0.699
 0.078, 20.707, 0.288
 0.142, 14.778, 0.001
 0.194, 19.403, 0.095
 0.135, 21.859, 0.684
 0.194, 19.531, 0.106
 0.092, 18.788, 0.055
 0.104, 19.768, 0.131
 0.131, 17.781, 0.022
 0.149, 17.784, 0.022
 0.177, 20.753, 0.299
 0.126, 20.535, 0.250
 0.130, 21.112, 0.397
 0.106, 20.787, 0.307
 0.182, 20.420, 0.228
 0.035, 18.680, 0.050
 0.199, 19.888, 0.145
 0.159, 21.519, 0.538
 0.162, 18.937, 0.063
 0.129, 17.596, 0.019
 0.191, 17.465, 0.017
 0.119, 17.551, 0.018
 0.065, 19.706, 0.124
 0.137, 17.805, 0.023
 0.157, 18.198, 0.032
 0.067, 21.443, 0.509
 0.163, 18.425, 0.040
 0.175, 18.459, 0.041
 0.154, 21.955, 0.730
 0.156, 20.218, 0.192
 0.090, 18.471, 0.041
 0.149, 19.184, 0.078
 0.126, 21.991, 0.748
 0.136, 17.923, 0.025
 0.117, 20.056, 0.168
 0.108, 20.457, 0.235
 0.128, 21.160, 0.412
 0.128, 19.630, 0.116
 0.162, 20.415, 0.227
 0.155, 16.703, 0.008
 0.168, 19.268, 0.084
 0.120, 18.977, 0.065
 0.126, 21.286, 0.453
 0.196, 18.670, 0.049
 0.149, 17.355, 0.015
 0.109, 20.911, 0.339
 0.090, 21.888, 0.698
 0.170, 14.050, 0.001
 0.038, 20.628, 0.270
 0.177, 16.821, 0.009
 0.198, 21.704, 0.615
 0.167, 21.642, 0.588
 0.178, 14.485, 0.001
 0.137, 18.589, 0.046
 0.183, 18.789, 0.055
 0.156, 21.774, 0.646
 0.150, 20.797, 0.310
 0.152, 21.712, 0.618
 0.133, 21.717, 0.620
 0.141, 17.572, 0.018
 0.181, 21.197, 0.424
 0.198, 20.677, 0.281
 0.100, 19.079, 0.071
 0.162, 19.306, 0.087
 0.126, 20.169, 0.184
 0.171, 21.840, 0.676
 0.118, 21.806, 0.660
 0.084, 21.693, 0.610
 0.105, 17.592, 0.019
 0.068, 17.923, 0.025
 0.169, 16.055, 0.005
 0.192, 20.203, 0.190
 0.109, 18.950, 0.064
 0.165, 21.158, 0.411
 0.050, 15.748, 0.003
 0.098, 21.950, 0.728
 0.181, 20.393, 0.223
 0.090, 19.530, 0.106
 0.168, 20.895, 0.335
 0.151, 15.513, 0.003
 0.191, 20.339, 0.213
 0.120, 19.811, 0.136
 0.180, 19.876, 0.144
 0.198, 19.061, 0.070
 0.113, 21.880, 0.694
 0.142, 21.644, 0.589
 0.184, 17.180, 0.013
 0.160, 20.705, 0.288
 0.080, 19.867, 0.142
 0.177, 20.059, 0.168
 0.177, 21.722, 0.622
 0.046, 21.829, 0.670
 0.173, 18.087, 0.029
 0.079, 21.206, 0.427
 0.191, 21.182, 0.419
 0.154, 21.699, 0.613
 0.189, 17.446, 0.016
 0.127, 21.311, 0.462
 0.123, 20.754, 0.299
 0.161, 16.074, 0.005
 0.083, 16.424, 0.006
 0.130, 19.648, 0.118
 0.136, 21.948, 0.727
 0.184, 21.049, 0.378
 0.175, 19.046, 0.069
 0.119, 19.621, 0.115
 0.066, 17.271, 0.014
 0.147, 20.739, 0.296
 0.143, 19.174, 0.078
 0.198, 19.289, 0.086
 0.099, 20.921, 0.342
 0.129, 19.172, 0.077
 0.040, 21.301, 0.459
 0.131, 14.881, 0.002
 0.159, 20.590, 0.262
 0.175, 16.262, 0.005
 0.121, 20.682, 0.282
 0.117, 18.085, 0.029
 0.195, 19.878, 0.144
 0.172, 20.277, 0.202
 0.112, 17.085, 0.012
 0.117, 20.123, 0.177
 0.176, 20.280, 0.203
 0.095, 14.912, 0.002
 0.194, 21.684, 0.606
 0.112, 17.709, 0.021
 0.163, 20.549, 0.253
 0.168, 20.757, 0.300
 0.144, 20.255, 0.198
 0.126, 21.317, 0.464
 0.044, 17.738, 0.021
 0.190, 20.732, 0.294
 0.195, 16.197, 0.005
 0.149, 17.539, 0.018
 0.147, 17.806, 0.023
 0.185, 19.604, 0.113
 0.148, 21.259, 0.444
 0.155, 17.640, 0.019
 0.051, 20.769, 0.303
 0.200, 21.784, 0.650
 0.174, 21.614, 0.577
 0.114, 18.982, 0.065
 0.171, 20.859, 0.326
 0.127, 20.984, 0.359
 0.146, 19.195, 0.079
 0.074, 20.817, 0.315
 0.071, 16.250, 0.005
 0.065, 17.073, 0.012
 0.167, 19.445, 0.099
 0.154, 14.132, 0.001
 0.080, 14.460, 0.001
 0.136, 19.883, 0.144
 0.093, 17.357, 0.015
 0.039, 21.796, 0.655
 0.127, 21.136, 0.404
 0.146, 16.234, 0.005
 0.177, 19.856, 0.141
 0.121, 21.902, 0.704
 0.132, 19.191, 0.079
 0.078, 16.001, 0.004
 0.186, 15.565, 0.003
 0.150, 18.555, 0.045
 0.126, 17.180, 0.013
 0.083, 21.774, 0.646
 0.087, 20.661, 0.278
 0.063, 20.653, 0.276
 0.148, 21.617, 0.578
 0.179, 18.752, 0.053
 0.106, 20.008, 0.161
 0.154, 18.853, 0.058
 0.151, 21.382, 0.487
 0.095, 15.908, 0.004
 0.118, 14.014, 0.001
 0.196, 20.748, 0.298
 0.159, 19.617, 0.115
 0.195, 14.435, 0.001
 0.130, 21.025, 0.371
 0.177, 17.477, 0.017
 0.152, 17.980, 0.026
 0.168, 17.196, 0.013
 0.078, 21.724, 0.623
 0.192, 18.348, 0.037
 0.191, 21.173, 0.416
 0.168, 17.103, 0.012
 0.117, 19.906, 0.147
 0.184, 21.643, 0.589
 0.064, 16.757, 0.009
 0.141, 18.225, 0.033
 0.167, 18.833, 0.057
 0.192, 20.969, 0.355
 0.141, 21.711, 0.618
 0.188, 16.700, 0.008
 0.071, 20.038, 0.165
 0.079, 16.833, 0.009
 0.159, 15.782, 0.004
 0.147, 20.114, 0.176
 0.132, 19.481, 0.102
 0.051, 17.517, 0.017
 0.124, 15.872, 0.004
 0.179, 18.555, 0.045
 0.107, 16.077, 0.005
 0.086, 19.321, 0.088
 0.120, 17.489, 0.017
 0.144, 19.556, 0.109
 0.189, 21.906, 0.706
 0.148, 18.387, 0.038
 0.167, 19.066, 0.070
 0.195, 18.009, 0.027
 0.181, 19.771, 0.131
 0.176, 21.747, 0.634
 0.193, 16.603, 0.008
 0.073, 20.794, 0.309
 0.199, 16.084, 0.005
 0.185, 21.757, 0.638
 0.156, 19.739, 0.128
 0.104, 21.683, 0.606
 0.077, 15.616, 0.003
 0.096, 18.818, 0.056
 0.139, 16.917, 0.010
 0.199, 21.466, 0.518
 0.090, 18.816, 0.056
 0.054, 20.598, 0.264
 0.026, 12.080, 0.000
 0.050, 21.305, 0.460
 0.121, 19.886, 0.145
 0.196, 19.512, 0.105
 0.189, 20.739, 0.296
 0.084, 19.571, 0.110
 0.180, 19.359, 0.091
 0.128, 17.840, 0.023
 0.149, 18.075, 0.029
 0.169, 19.828, 0.138
 0.063, 20.470, 0.237
 0.179, 15.544, 0.003
 0.176, 20.723, 0.292
 0.063, 15.031, 0.002
 0.158, 17.306, 0.014
 0.144, 21.370, 0.483
 0.132, 16.992, 0.011
 0.068, 12.950, 0.000
 0.131, 20.153, 0.182
 0.195, 18.980, 0.065
 0.149, 17.882, 0.024
 0.152, 15.024, 0.002
 0.056, 20.589, 0.262
 0.116, 20.708, 0.288
 0.166, 19.199, 0.079
 0.122, 21.228, 0.434
 0.085, 18.348, 0.037
 0.092, 18.598, 0.046
 0.119, 21.965, 0.735
 0.164, 15.056, 0.002
 0.145, 18.762, 0.054
